ANO,MES,SENADOR,VALOR_REEMBOLSADO,UF,QUOTA,PERCENTAGE
2008,3,MARCONI PERILLO,12409.67,,40256.17,30.83
2008,3,MARIA DO CARMO ALVES,5109.76,SE,40139.26,12.73
2008,3,MARISA SERRANO,15344.67,,40256.17,38.12
2008,3,MOZARILDO CAVALCANTI,19007.99,RR,45612.53,41.67
2008,3,MÁRIO COUTO,15815.1,,40256.17,39.29
2008,3,MÃO SANTA,14994.130000000001,PI,40971.77,36.6
2008,3,NEUTO DE CONTO,17016.03,,40256.17,42.27
2008,3,OSMAR DIAS,13641.060000000001,PR,38871.86,35.09
2008,3,PAPALÉO PAES,8143.49,AP,43374.78,18.77
2008,3,PATRÍCIA SABOYA GOMES,14790.939999999999,,40256.17,36.74
2008,3,PAULO DUQUE,18195.690000000002,,40256.17,45.2
2008,3,PAULO PAIM,17668.2,RS,40875.9,43.22
2008,3,RAIMUNDO COLOMBO,14335.5,,40256.17,35.61
2008,3,RENAN CALHEIROS,10221.65,AL,40944.1,24.96
2008,3,RENATO CASAGRANDE,18302.280000000002,ES,37423.91,48.91
2008,3,ROMERO JUCÁ,14273.34,RR,45612.53,31.29
2008,3,ROMEU TUMA,32262.69,SP,37043.53,87.09
2008,3,ROSALBA CIARLINI,14869.49,,40256.17,36.94
2008,3,ROSEANA SARNEY,12941.900000000001,MA,42151.69,30.7
2008,3,SERYS SLHESSARENKO,14477.29,MT,39428.03,36.72
2008,3,SIBÁ MACHADO,17473.24,AC,44632.46,39.15
2008,3,SÉRGIO GUERRA,15000.0,PE,41676.8,35.99
